clip_id,source,model,profile,sweep_kind,prompt_id,pattern,register,timing_variant,technique,analysis_tier,technique_keyswitch,dynamic_label,cc1_initial,cc1_final,branch_offset_s,seed,base_seed,noise_group,replicate,w_tech,w_cc,sampling_steps,reference_midi,single_pitch,note_onset_s,midi_path,audio_path,status
long_low_short-rep03__t-sustain__d-f__s-guidance__w-wt10_wc20,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,sustain,real_counterfactual_primary,36,f,96,96,,1399299735963476573,20260826,long_low_short-rep03,3,1.0,2.0,30,57.0,True,0.75,data/midi/sweep/guidance/wt10_wc20/long_low_short-rep03__t-sustain__d-f__s-guidance__w-wt10_wc20.mid,data/model_audio/sweep/long_low_short-rep03__t-sustain__d-f__s-guidance__w-wt10_wc20.wav,planned
long_low_short-rep04__t-sustain__d-f__s-guidance__w-wt10_wc20,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,sustain,real_counterfactual_primary,36,f,96,96,,3278601921478672932,20260826,long_low_short-rep04,4,1.0,2.0,30,57.0,True,0.75,data/midi/sweep/guidance/wt10_wc20/long_low_short-rep04__t-sustain__d-f__s-guidance__w-wt10_wc20.mid,data/model_audio/sweep/long_low_short-rep04__t-sustain__d-f__s-guidance__w-wt10_wc20.wav,planned
long_low_short-rep01__t-staccato__d-p__s-guidance__w-wt10_wc20,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,staccato,real_counterfactual_primary,40,p,32,32,,1821681125536737200,20260826,long_low_short-rep01,1,1.0,2.0,30,57.0,True,0.75,data/midi/sweep/guidance/wt10_wc20/long_low_short-rep01__t-staccato__d-p__s-guidance__w-wt10_wc20.mid,data/model_audio/sweep/long_low_short-rep01__t-staccato__d-p__s-guidance__w-wt10_wc20.wav,planned
long_low_short-rep02__t-staccato__d-p__s-guidance__w-wt10_wc20,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,staccato,real_counterfactual_primary,40,p,32,32,,2911600852117595179,20260826,long_low_short-rep02,2,1.0,2.0,30,57.0,True,0.75,data/midi/sweep/guidance/wt10_wc20/long_low_short-rep02__t-staccato__d-p__s-guidance__w-wt10_wc20.mid,data/model_audio/sweep/long_low_short-rep02__t-staccato__d-p__s-guidance__w-wt10_wc20.wav,planned
long_low_short-rep03__t-staccato__d-p__s-guidance__w-wt10_wc20,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,staccato,real_counterfactual_primary,40,p,32,32,,1399299735963476573,20260826,long_low_short-rep03,3,1.0,2.0,30,57.0,True,0.75,data/midi/sweep/guidance/wt10_wc20/long_low_short-rep03__t-staccato__d-p__s-guidance__w-wt10_wc20.mid,data/model_audio/sweep/long_low_short-rep03__t-staccato__d-p__s-guidance__w-wt10_wc20.wav,planned
long_low_short-rep04__t-staccato__d-p__s-guidance__w-wt10_wc20,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,staccato,real_counterfactual_primary,40,p,32,32,,3278601921478672932,20260826,long_low_short-rep04,4,1.0,2.0,30,57.0,True,0.75,data/midi/sweep/guidance/wt10_wc20/long_low_short-rep04__t-staccato__d-p__s-guidance__w-wt10_wc20.mid,data/model_audio/sweep/long_low_short-rep04__t-staccato__d-p__s-guidance__w-wt10_wc20.wav,planned
long_low_short-rep01__t-staccato__d-mf__s-guidance__w-wt10_wc20,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,staccato,real_counterfactual_primary,40,mf,64,64,,1821681125536737200,20260826,long_low_short-rep01,1,1.0,2.0,30,57.0,True,0.75,data/midi/sweep/guidance/wt10_wc20/long_low_short-rep01__t-staccato__d-mf__s-guidance__w-wt10_wc20.mid,data/model_audio/sweep/long_low_short-rep01__t-staccato__d-mf__s-guidance__w-wt10_wc20.wav,planned
long_low_short-rep02__t-staccato__d-mf__s-guidance__w-wt10_wc20,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,staccato,real_counterfactual_primary,40,mf,64,64,,2911600852117595179,20260826,long_low_short-rep02,2,1.0,2.0,30,57.0,True,0.75,data/midi/sweep/guidance/wt10_wc20/long_low_short-rep02__t-staccato__d-mf__s-guidance__w-wt10_wc20.mid,data/model_audio/sweep/long_low_short-rep02__t-staccato__d-mf__s-guidance__w-wt10_wc20.wav,planned
long_low_short-rep03__t-staccato__d-mf__s-guidance__w-wt10_wc20,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,staccato,real_counterfactual_primary,40,mf,64,64,,1399299735963476573,20260826,long_low_short-rep03,3,1.0,2.0,30,57.0,True,0.75,data/midi/sweep/guidance/wt10_wc20/long_low_short-rep03__t-staccato__d-mf__s-guidance__w-wt10_wc20.mid,data/model_audio/sweep/long_low_short-rep03__t-staccato__d-mf__s-guidance__w-wt10_wc20.wav,planned
long_low_short-rep04__t-staccato__d-mf__s-guidance__w-wt10_wc20,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,staccato,real_counterfactual_primary,40,mf,64,64,,3278601921478672932,20260826,long_low_short-rep04,4,1.0,2.0,30,57.0,True,0.75,data/midi/sweep/guidance/wt10_wc20/long_low_short-rep04__t-staccato__d-mf__s-guidance__w-wt10_wc20.mid,data/model_audio/sweep/long_low_short-rep04__t-staccato__d-mf__s-guidance__w-wt10_wc20.wav,planned
long_low_short-rep01__t-staccato__d-f__s-guidance__w-wt10_wc20,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,staccato,real_counterfactual_primary,40,f,96,96,,1821681125536737200,20260826,long_low_short-rep01,1,1.0,2.0,30,57.0,True,0.75,data/midi/sweep/guidance/wt10_wc20/long_low_short-rep01__t-staccato__d-f__s-guidance__w-wt10_wc20.mid,data/model_audio/sweep/long_low_short-rep01__t-staccato__d-f__s-guidance__w-wt10_wc20.wav,planned
long_low_short-rep02__t-staccato__d-f__s-guidance__w-wt10_wc20,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,staccato,real_counterfactual_primary,40,f,96,96,,2911600852117595179,20260826,long_low_short-rep02,2,1.0,2.0,30,57.0,True,0.75,data/midi/sweep/guidance/wt10_wc20/long_low_short-rep02__t-staccato__d-f__s-guidance__w-wt10_wc20.mid,data/model_audio/sweep/long_low_short-rep02__t-staccato__d-f__s-guidance__w-wt10_wc20.wav,planned
long_low_short-rep03__t-staccato__d-f__s-guidance__w-wt10_wc20,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,staccato,real_counterfactual_primary,40,f,96,96,,1399299735963476573,20260826,long_low_short-rep03,3,1.0,2.0,30,57.0,True,0.75,data/midi/sweep/guidance/wt10_wc20/long_low_short-rep03__t-staccato__d-f__s-guidance__w-wt10_wc20.mid,data/model_audio/sweep/long_low_short-rep03__t-staccato__d-f__s-guidance__w-wt10_wc20.wav,planned
long_low_short-rep04__t-staccato__d-f__s-guidance__w-wt10_wc20,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,staccato,real_counterfactual_primary,40,f,96,96,,3278601921478672932,20260826,long_low_short-rep04,4,1.0,2.0,30,57.0,True,0.75,data/midi/sweep/guidance/wt10_wc20/long_low_short-rep04__t-staccato__d-f__s-guidance__w-wt10_wc20.mid,data/model_audio/sweep/long_low_short-rep04__t-staccato__d-f__s-guidance__w-wt10_wc20.wav,planned
long_low_short-rep01__t-pizzicato__d-p__s-guidance__w-wt10_wc20,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,pizzicato,real_counterfactual_primary,43,p,32,32,,1821681125536737200,20260826,long_low_short-rep01,1,1.0,2.0,30,57.0,True,0.75,data/midi/sweep/guidance/wt10_wc20/long_low_short-rep01__t-pizzicato__d-p__s-guidance__w-wt10_wc20.mid,data/model_audio/sweep/long_low_short-rep01__t-pizzicato__d-p__s-guidance__w-wt10_wc20.wav,planned
long_low_short-rep02__t-pizzicato__d-p__s-guidance__w-wt10_wc20,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,pizzicato,real_counterfactual_primary,43,p,32,32,,2911600852117595179,20260826,long_low_short-rep02,2,1.0,2.0,30,57.0,True,0.75,data/midi/sweep/guidance/wt10_wc20/long_low_short-rep02__t-pizzicato__d-p__s-guidance__w-wt10_wc20.mid,data/model_audio/sweep/long_low_short-rep02__t-pizzicato__d-p__s-guidance__w-wt10_wc20.wav,planned
long_low_short-rep03__t-pizzicato__d-p__s-guidance__w-wt10_wc20,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,pizzicato,real_counterfactual_primary,43,p,32,32,,1399299735963476573,20260826,long_low_short-rep03,3,1.0,2.0,30,57.0,True,0.75,data/midi/sweep/guidance/wt10_wc20/long_low_short-rep03__t-pizzicato__d-p__s-guidance__w-wt10_wc20.mid,data/model_audio/sweep/long_low_short-rep03__t-pizzicato__d-p__s-guidance__w-wt10_wc20.wav,planned
long_low_short-rep04__t-pizzicato__d-p__s-guidance__w-wt10_wc20,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,pizzicato,real_counterfactual_primary,43,p,32,32,,3278601921478672932,20260826,long_low_short-rep04,4,1.0,2.0,30,57.0,True,0.75,data/midi/sweep/guidance/wt10_wc20/long_low_short-rep04__t-pizzicato__d-p__s-guidance__w-wt10_wc20.mid,data/model_audio/sweep/long_low_short-rep04__t-pizzicato__d-p__s-guidance__w-wt10_wc20.wav,planned
long_low_short-rep01__t-pizzicato__d-mf__s-guidance__w-wt10_wc20,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,pizzicato,real_counterfactual_primary,43,mf,64,64,,1821681125536737200,20260826,long_low_short-rep01,1,1.0,2.0,30,57.0,True,0.75,data/midi/sweep/guidance/wt10_wc20/long_low_short-rep01__t-pizzicato__d-mf__s-guidance__w-wt10_wc20.mid,data/model_audio/sweep/long_low_short-rep01__t-pizzicato__d-mf__s-guidance__w-wt10_wc20.wav,planned
long_low_short-rep02__t-pizzicato__d-mf__s-guidance__w-wt10_wc20,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,pizzicato,real_counterfactual_primary,43,mf,64,64,,2911600852117595179,20260826,long_low_short-rep02,2,1.0,2.0,30,57.0,True,0.75,data/midi/sweep/guidance/wt10_wc20/long_low_short-rep02__t-pizzicato__d-mf__s-guidance__w-wt10_wc20.mid,data/model_audio/sweep/long_low_short-rep02__t-pizzicato__d-mf__s-guidance__w-wt10_wc20.wav,planned
long_low_short-rep03__t-pizzicato__d-mf__s-guidance__w-wt10_wc20,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,pizzicato,real_counterfactual_primary,43,mf,64,64,,1399299735963476573,20260826,long_low_short-rep03,3,1.0,2.0,30,57.0,True,0.75,data/midi/sweep/guidance/wt10_wc20/long_low_short-rep03__t-pizzicato__d-mf__s-guidance__w-wt10_wc20.mid,data/model_audio/sweep/long_low_short-rep03__t-pizzicato__d-mf__s-guidance__w-wt10_wc20.wav,planned
long_low_short-rep04__t-pizzicato__d-mf__s-guidance__w-wt10_wc20,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,pizzicato,real_counterfactual_primary,43,mf,64,64,,3278601921478672932,20260826,long_low_short-rep04,4,1.0,2.0,30,57.0,True,0.75,data/midi/sweep/guidance/wt10_wc20/long_low_short-rep04__t-pizzicato__d-mf__s-guidance__w-wt10_wc20.mid,data/model_audio/sweep/long_low_short-rep04__t-pizzicato__d-mf__s-guidance__w-wt10_wc20.wav,planned
long_low_short-rep01__t-pizzicato__d-f__s-guidance__w-wt10_wc20,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,pizzicato,real_counterfactual_primary,43,f,96,96,,1821681125536737200,20260826,long_low_short-rep01,1,1.0,2.0,30,57.0,True,0.75,data/midi/sweep/guidance/wt10_wc20/long_low_short-rep01__t-pizzicato__d-f__s-guidance__w-wt10_wc20.mid,data/model_audio/sweep/long_low_short-rep01__t-pizzicato__d-f__s-guidance__w-wt10_wc20.wav,planned
long_low_short-rep02__t-pizzicato__d-f__s-guidance__w-wt10_wc20,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,pizzicato,real_counterfactual_primary,43,f,96,96,,2911600852117595179,20260826,long_low_short-rep02,2,1.0,2.0,30,57.0,True,0.75,data/midi/sweep/guidance/wt10_wc20/long_low_short-rep02__t-pizzicato__d-f__s-guidance__w-wt10_wc20.mid,data/model_audio/sweep/long_low_short-rep02__t-pizzicato__d-f__s-guidance__w-wt10_wc20.wav,planned
long_low_short-rep03__t-pizzicato__d-f__s-guidance__w-wt10_wc20,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,pizzicato,real_counterfactual_primary,43,f,96,96,,1399299735963476573,20260826,long_low_short-rep03,3,1.0,2.0,30,57.0,True,0.75,data/midi/sweep/guidance/wt10_wc20/long_low_short-rep03__t-pizzicato__d-f__s-guidance__w-wt10_wc20.mid,data/model_audio/sweep/long_low_short-rep03__t-pizzicato__d-f__s-guidance__w-wt10_wc20.wav,planned
long_low_short-rep04__t-pizzicato__d-f__s-guidance__w-wt10_wc20,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,pizzicato,real_counterfactual_primary,43,f,96,96,,3278601921478672932,20260826,long_low_short-rep04,4,1.0,2.0,30,57.0,True,0.75,data/midi/sweep/guidance/wt10_wc20/long_low_short-rep04__t-pizzicato__d-f__s-guidance__w-wt10_wc20.mid,data/model_audio/sweep/long_low_short-rep04__t-pizzicato__d-f__s-guidance__w-wt10_wc20.wav,planned
long_low_short-rep01__t-legato_slur__d-p__s-guidance__w-wt10_wc20,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,legato_slur,real_counterfactual_primary,49,p,32,32,,1821681125536737200,20260826,long_low_short-rep01,1,1.0,2.0,30,57.0,True,0.75,data/midi/sweep/guidance/wt10_wc20/long_low_short-rep01__t-legato_slur__d-p__s-guidance__w-wt10_wc20.mid,data/model_audio/sweep/long_low_short-rep01__t-legato_slur__d-p__s-guidance__w-wt10_wc20.wav,planned
long_low_short-rep02__t-legato_slur__d-p__s-guidance__w-wt10_wc20,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,legato_slur,real_counterfactual_primary,49,p,32,32,,2911600852117595179,20260826,long_low_short-rep02,2,1.0,2.0,30,57.0,True,0.75,data/midi/sweep/guidance/wt10_wc20/long_low_short-rep02__t-legato_slur__d-p__s-guidance__w-wt10_wc20.mid,data/model_audio/sweep/long_low_short-rep02__t-legato_slur__d-p__s-guidance__w-wt10_wc20.wav,planned
long_low_short-rep03__t-legato_slur__d-p__s-guidance__w-wt10_wc20,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,legato_slur,real_counterfactual_primary,49,p,32,32,,1399299735963476573,20260826,long_low_short-rep03,3,1.0,2.0,30,57.0,True,0.75,data/midi/sweep/guidance/wt10_wc20/long_low_short-rep03__t-legato_slur__d-p__s-guidance__w-wt10_wc20.mid,data/model_audio/sweep/long_low_short-rep03__t-legato_slur__d-p__s-guidance__w-wt10_wc20.wav,planned
long_low_short-rep04__t-legato_slur__d-p__s-guidance__w-wt10_wc20,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,legato_slur,real_counterfactual_primary,49,p,32,32,,3278601921478672932,20260826,long_low_short-rep04,4,1.0,2.0,30,57.0,True,0.75,data/midi/sweep/guidance/wt10_wc20/long_low_short-rep04__t-legato_slur__d-p__s-guidance__w-wt10_wc20.mid,data/model_audio/sweep/long_low_short-rep04__t-legato_slur__d-p__s-guidance__w-wt10_wc20.wav,planned
long_low_short-rep01__t-legato_slur__d-mf__s-guidance__w-wt10_wc20,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,legato_slur,real_counterfactual_primary,49,mf,64,64,,1821681125536737200,20260826,long_low_short-rep01,1,1.0,2.0,30,57.0,True,0.75,data/midi/sweep/guidance/wt10_wc20/long_low_short-rep01__t-legato_slur__d-mf__s-guidance__w-wt10_wc20.mid,data/model_audio/sweep/long_low_short-rep01__t-legato_slur__d-mf__s-guidance__w-wt10_wc20.wav,planned
long_low_short-rep02__t-legato_slur__d-mf__s-guidance__w-wt10_wc20,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,legato_slur,real_counterfactual_primary,49,mf,64,64,,2911600852117595179,20260826,long_low_short-rep02,2,1.0,2.0,30,57.0,True,0.75,data/midi/sweep/guidance/wt10_wc20/long_low_short-rep02__t-legato_slur__d-mf__s-guidance__w-wt10_wc20.mid,data/model_audio/sweep/long_low_short-rep02__t-legato_slur__d-mf__s-guidance__w-wt10_wc20.wav,planned
long_low_short-rep03__t-legato_slur__d-mf__s-guidance__w-wt10_wc20,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,legato_slur,real_counterfactual_primary,49,mf,64,64,,1399299735963476573,20260826,long_low_short-rep03,3,1.0,2.0,30,57.0,True,0.75,data/midi/sweep/guidance/wt10_wc20/long_low_short-rep03__t-legato_slur__d-mf__s-guidance__w-wt10_wc20.mid,data/model_audio/sweep/long_low_short-rep03__t-legato_slur__d-mf__s-guidance__w-wt10_wc20.wav,planned
long_low_short-rep04__t-legato_slur__d-mf__s-guidance__w-wt10_wc20,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,legato_slur,real_counterfactual_primary,49,mf,64,64,,3278601921478672932,20260826,long_low_short-rep04,4,1.0,2.0,30,57.0,True,0.75,data/midi/sweep/guidance/wt10_wc20/long_low_short-rep04__t-legato_slur__d-mf__s-guidance__w-wt10_wc20.mid,data/model_audio/sweep/long_low_short-rep04__t-legato_slur__d-mf__s-guidance__w-wt10_wc20.wav,planned
long_low_short-rep01__t-legato_slur__d-f__s-guidance__w-wt10_wc20,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,legato_slur,real_counterfactual_primary,49,f,96,96,,1821681125536737200,20260826,long_low_short-rep01,1,1.0,2.0,30,57.0,True,0.75,data/midi/sweep/guidance/wt10_wc20/long_low_short-rep01__t-legato_slur__d-f__s-guidance__w-wt10_wc20.mid,data/model_audio/sweep/long_low_short-rep01__t-legato_slur__d-f__s-guidance__w-wt10_wc20.wav,planned
long_low_short-rep02__t-legato_slur__d-f__s-guidance__w-wt10_wc20,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,legato_slur,real_counterfactual_primary,49,f,96,96,,2911600852117595179,20260826,long_low_short-rep02,2,1.0,2.0,30,57.0,True,0.75,data/midi/sweep/guidance/wt10_wc20/long_low_short-rep02__t-legato_slur__d-f__s-guidance__w-wt10_wc20.mid,data/model_audio/sweep/long_low_short-rep02__t-legato_slur__d-f__s-guidance__w-wt10_wc20.wav,planned
long_low_short-rep03__t-legato_slur__d-f__s-guidance__w-wt10_wc20,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,legato_slur,real_counterfactual_primary,49,f,96,96,,1399299735963476573,20260826,long_low_short-rep03,3,1.0,2.0,30,57.0,True,0.75,data/midi/sweep/guidance/wt10_wc20/long_low_short-rep03__t-legato_slur__d-f__s-guidance__w-wt10_wc20.mid,data/model_audio/sweep/long_low_short-rep03__t-legato_slur__d-f__s-guidance__w-wt10_wc20.wav,planned
long_low_short-rep04__t-legato_slur__d-f__s-guidance__w-wt10_wc20,model,VIOLET,sweep_guidance,guidance,long_low_short,long,low,short,legato_slur,real_counterfactual_primary,49,f,96,96,,3278601921478672932,20260826,long_low_short-rep04,4,1.0,2.0,30,57.0,True,0.75,data/midi/sweep/guidance/wt10_wc20/long_low_short-rep04__t-legato_slur__d-f__s-guidance__w-wt10_wc20.mid,data/model_audio/sweep/long_low_short-rep04__t-legato_slur__d-f__s-guidance__w-wt10_wc20.wav,planned
long_high_long-rep01__t-sustain__d-p__s-guidance__w-wt10_wc20,model,VIOLET,sweep_guidance,guidance,long_high_long,long,high,long,sustain,real_counterfactual_primary,36,p,32,32,,783129699631193259,20260826,long_high_long-rep01,1,1.0,2.0,30,81.0,True,0.75,data/midi/sweep/guidance/wt10_wc20/long_high_long-rep01__t-sustain__d-p__s-guidance__w-wt10_wc20.mid,data/model_audio/sweep/long_high_long-rep01__t-sustain__d-p__s-guidance__w-wt10_wc20.wav,planned
long_high_long-rep02__t-sustain__d-p__s-guidance__w-wt10_wc20,model,VIOLET,sweep_guidance,guidance,long_high_long,long,high,long,sustain,real_counterfactual_primary,36,p,32,32,,3205758975103824288,20260826,long_high_long-rep02,2,1.0,2.0,30,81.0,True,0.75,data/midi/sweep/guidance/wt10_wc20/long_high_long-rep02__t-sustain__d-p__s-guidance__w-wt10_wc20.mid,data/model_audio/sweep/long_high_long-rep02__t-sustain__d-p__s-guidance__w-wt10_wc20.wav,planned
long_high_long-rep03__t-sustain__d-p__s-guidance__w-wt10_wc20,model,VIOLET,sweep_guidance,guidance,long_high_long,long,high,long,sustain,real_counterfactual_primary,36,p,32,32,,8260705675710319947,20260826,long_high_long-rep03,3,1.0,2.0,30,81.0,True,0.75,data/midi/sweep/guidance/wt10_wc20/long_high_long-rep03__t-sustain__d-p__s-guidance__w-wt10_wc20.mid,data/model_audio/sweep/long_high_long-rep03__t-sustain__d-p__s-guidance__w-wt10_wc20.wav,planned
long_high_long-rep04__t-sustain__d-p__s-guidance__w-wt10_wc20,model,VIOLET,sweep_guidance,guidance,long_high_long,long,high,long,sustain,real_counterfactual_primary,36,p,32,32,,1479089932150990109,20260826,long_high_long-rep04,4,1.0,2.0,30,81.0,True,0.75,data/midi/sweep/guidance/wt10_wc20/long_high_long-rep04__t-sustain__d-p__s-guidance__w-wt10_wc20.mid,data/model_audio/sweep/long_high_long-rep04__t-sustain__d-p__s-guidance__w-wt10_wc20.wav,planned
long_high_long-rep01__t-sustain__d-mf__s-guidance__w-wt10_wc20,model,VIOLET,sweep_guidance,guidance,long_high_long,long,high,long,sustain,real_counterfactual_primary,36,mf,64,64,,783129699631193259,20260826,long_high_long-rep01,1,1.0,2.0,30,81.0,True,0.75,data/midi/sweep/guidance/wt10_wc20/long_high_long-rep01__t-sustain__d-mf__s-guidance__w-wt10_wc20.mid,data/model_audio/sweep/long_high_long-rep01__t-sustain__d-mf__s-guidance__w-wt10_wc20.wav,planned
